old_raw,new_raw,rot_deg,score
0,30,0,7.58272472674777
1,35,0,4.001664372861412
2,40,0,54.69601545955751
3,105,0,16.668861893360045
4,110,0,312.2269222543687
5,115,180,456.9146802535518
6,31,0,10.957628879735573
7,36,0,41.644437381342314
8,41,0,29.876793628718335
9,106,0,7.785112262381282
10,111,0,211.4855246907351
11,116,180,903.9466235735609
12,32,0,14.735212042984424
13,37,0,41.5146873866492
14,102,0,4.963701773940288
15,107,0,4.458611486575787
16,112,0,17.954572775579145
17,118,0,503.2658059246587
18,33,0,7.0975374874803
19,38,0,62.67807581521246
20,103,0,16.686937575967505
21,48,180,8.277568989311208
22,113,0,10.498253228054459
23,119,0,120.22170301665766
24,34,0,8.508849871383646
25,39,0,66.99217420500335
26,104,0,13.757854445974944
27,109,0,38.8206130447481
28,109,0,54.591768336608624
29,59,0,56.55341131815973
30,83,180,8.026005340241735
31,83,180,8.026005340241735
32,83,180,8.026005340241735
33,83,180,8.026005340241735
34,83,180,8.026005340241735
35,83,180,8.026005340241735
36,60,0,7.330600705360771
37,65,0,15.777552156444788
38,70,0,76.78178564509386
39,105,0,25.44428428055656
40,110,0,393.9313730716127
41,116,180,394.49248045640815
42,61,0,9.869449277104449
43,66,0,40.33934532136391
44,101,0,45.37978344173136
45,106,0,10.893105648577338
46,85,180,211.7984939815234
47,116,180,883.8399572395151
48,62,0,11.440778690046011
49,67,0,42.6739128261239
50,102,0,6.398099971140707
51,107,0,7.576435723563286
52,112,0,16.022026769302787
53,118,0,554.427358376219
54,63,0,8.48748704867291
55,68,0,61.41651588784802
56,103,0,20.869775081407173
57,48,180,13.607330536010348
58,113,0,10.64808951865622
59,119,0,293.01492448044485
60,64,0,6.793986222745417
61,69,0,61.577640716195404
62,104,0,17.01035708793178
63,109,0,54.48816885409026
64,109,0,86.89041673164178
65,119,0,176.21401672138484
66,83,180,8.026005340241735
67,83,180,8.026005340241735
68,83,180,8.026005340241735
69,83,180,8.026005340241735
70,83,180,8.026005340241735
71,83,180,8.026005340241735
72,90,0,5.363525102748969
73,95,0,8.695330256659693
74,100,0,44.22629766358483
75,105,0,16.147662208865526
76,110,0,309.9457697952415
77,116,180,374.6571807162392
78,91,0,8.228779445299736
79,96,0,25.370207388026888
80,101,0,25.1527863645325
81,106,0,7.559608193695844
82,115,180,167.04403218730542
83,116,180,773.473765697762
84,92,0,8.810229015712757
85,97,0,29.20058924944113
86,102,0,3.8637830316081674
87,107,0,5.355845217106339
88,112,0,12.804212442479901
89,118,0,477.8988677601436
90,93,0,6.473001040903995
91,98,0,42.49488551785761
92,103,0,13.37529962648208
93,48,180,11.321927128744074
94,113,0,8.359351005247843
95,119,0,306.8965728811648
96,94,0,4.895231371159049
97,99,0,43.63617939558137
98,104,0,11.616295453736132
99,109,0,40.033363107628645
100,114,180,77.9945191615924
101,119,0,128.4147506879285
102,83,180,8.026005340241735
103,83,180,8.026005340241735
104,83,180,8.026005340241735
105,83,180,8.026005340241735
106,83,180,8.026005340241735
107,83,180,8.026005340241735
108,0,0,9.860055493255583
109,5,0,12.574124444535558
110,10,0,108.95270675479485
111,105,0,39.79670076111581
112,110,0,403.2495699193499
113,116,180,386.5861908629074
114,1,0,13.179227488220768
115,6,0,50.6831463823598
116,11,0,65.88108358213393
117,106,0,19.496713891810774
118,85,180,238.58618384844806
119,116,180,998.0578026190859
120,2,0,15.731186892992348
121,7,0,59.05985898868853
122,102,0,10.851687187155923
123,107,0,12.84209381560863
124,112,0,23.324261964363295
125,118,0,655.079445807307
126,3,0,11.41863606214676
127,8,0,86.79739025181219
128,103,0,30.91564933382456
129,48,180,24.827713481283514
130,113,0,13.09274787580665
131,119,0,213.10638387370454
132,4,0,7.313041383606407
133,9,0,80.99280027199927
134,104,0,25.481231731781538
135,109,0,78.82768843359811
136,55,180,130.92713271105004
137,59,0,118.63859986104194
